"# of Use","使用次数"
"%s Item(s)","%s件商品"
"(Copy data from: %s)","(复制数据自: %s)"
"Our customer service is available 24/7. Call us at (555) 555-0123.","促销信息."
"More Views","更多图片" 
"<br/>[GLOBAL]","[全站]"
"<br/>[STORE VIEW]","[商店界面]"
"Daily ex-gratia","每日特惠"
"* Required Fields","* 必填项"
"images/addcard.jpg","images/addcardcn.jpg"
"Note Wash","洗涤说明"
"Note Size ","尺寸说明"
"Commodity score:","用户综合评分：" 
"Have %d Review(s)","有%d个评论"
"User comprehensive rating","用户综合评分"
"Please specify the product option(s)","请选择产品选项"
"< last one |","< 上一个 |"
"return list page","回到列表页"
"next one","下一个"
"SKU:","产品代码："
"Composition:","成&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;分："
"Color Code:","颜色代码："
"Color:","颜色名称："
"AllProduct","全部"
"Piece","件"
"Size Table","尺码对照表"
"Newuser Register","新用户注册"
"Layouts","页面布局"
"Blocks HTML output","CMS内容管理输出"
"Collections Data","商品数据"
"EAV types and attributes","商品属性"
"Rebuild Catalog Index","重建分类索引"
"Rebuild Flat Catalog Category","重建多级分类"
"Rebuild Flat Catalog Product","重建分类商品"
"Use for Price Rule Conditions","用于价格规则促销"
"Edit Set Name","编辑属性组"
"Please selected size!","请选择尺寸！"
"Size Comparison","尺码对照表"
"Washing Method","洗涤说明"
"First","首页"
"Last","末页"
"of","共"
"item","条"
"Next Image","下一张"
"Meta Title","Meta 标题"
"Use in Quick Search","是否用于快速搜索"
"Use in Advanced Search","是否用于高级搜索"
"Use for Promo Rule Conditions","是否用于促销规则中的条件"
"Allow HTML Tags on Frontend","前端允许使用HTML标签"
"Used in Product Listing","用于产品列表"
"Used for Sorting in Product Listing","用于产品列表排序"
"Use in Layered Navigation","使用渐进式导航"
"For internal use.","内部使用"
"State/Province ","省份"
"Use Static URLs for Media Content in WYSIWYG for Catalog","针对多媒体文件在编辑器中使用静态链接"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","所有多媒体文件在插入编辑器时会使用静态链接"
"The search was deleted.","搜索词已删除"
"The product has been duplicated.","商品已复制"
"Allow All Products per Page","允许一页显示所有商品"
"Allow Dynamic Media URLs in Products and Categories","在商品和分类里，允许动态URL"
"WYSIWYG Editor","打开编辑器"
"Please click on the Close Window button if it is not closed automatically.","如果窗口没有自动关闭，请点击关闭窗口按钮"
"Example format: 200x300.","示例：200x300"
"Watermark Opacity, Percent","水印透明度，百分比"
"Allowed file types: jpeg, gif, png.","允许文件类型：jpeg, gif, png"
"Center","居中"
"Catalog Category Link","指向分类的链接"
"Catalog New Products List","新产品列表"
"Catalog Product Link","指向产品的链接"
"Anchor Custom Text","自定义链接的显示文本"
"Anchor Custom Title","自定义链接的Title"
"If empty, the Product Name will be used","如果为空，默认将使用产品名"
"Link to a Specified Product","链接到指定产品"
"Select Product...","选择产品..."
"Link to a Specified Category","链接到指定分类"
"If empty, the Category Name will be used","如果为空，默认将使用分类名"
"Select Category...","选择分类..."
"Change or Retrieve attribute store view","更改或检索属性商店视图"
"Retrieve attribute data","检索属性数据"
"Retrieve categories tree","检索分类树"
"Retrieve invoice info","检索票据信息"
"Retrieve shipment info","检索配送信息"
"Retrieve orders info","检索订单信息"
"Retrieve customer info","检索会员信息"
"Directory","地址"
"Region","省/地区"
"Whether to show 'All' option in the 'Show X Per Page' dropdown.","是否在'每页显示多少'的下拉框里显示'所有'选项"
"E.g. {{media url=}} {{skin url=}}. Dynamic directives parsing impacts catalog performance.","比如{{media url=}} {{skin url=}}，动态指令语法会影响目录页的性能"
"Layer Attribute With Category","用于列表页属性过滤搜索"
"New Root Category","新建总分类"
"New Subcategory","新建子分类"
"Use Parent Category Settings","使用父类设置"
"Apply To Products","适用于产品"
"E.g. {{media url='path/to/image.jpg'}} {{skin url='path/to/picture.gif'}}. Dynamic directives parsing impacts catalog performance.","例如. {{media url='path/to/image.jpg'}} {{skin url='path/to/picture.gif'}}. 解析动态指令影响目录性能."
"Price Navigation Step Calculation","计算渐进式过滤步骤的价格"
"Automatic","自动"
"Manual","手动"
"Layered Navigation Price Step","渐进式搜索层级价格"
